Emil Uhl	Uhl, Emil	http://vocab.getty.edu/ulan/500175819
M Ugonia	Ugonia, Giuseppe	http://vocab.getty.edu/ulan/500175812	http://id.loc.gov/authorities/names/n82159910
M. Giuseppe Ugonia	Ugonia, Giuseppe	http://vocab.getty.edu/ulan/500175812	http://id.loc.gov/authorities/names/n82159910
Ugonia	Ugonia, Giuseppe	http://vocab.getty.edu/ulan/500175812	http://id.loc.gov/authorities/names/n82159910
M. Ugonia	Ugonia, Giuseppe	http://vocab.getty.edu/ulan/500175812	http://id.loc.gov/authorities/names/n82159910
G. Ugonia	Ugonia, Giuseppe	http://vocab.getty.edu/ulan/500175812	http://id.loc.gov/authorities/names/n82159910
G Ugonia	Ugonia, Giuseppe	http://vocab.getty.edu/ulan/500175812	http://id.loc.gov/authorities/names/n82159910
Ugonia, Guiseppe	Ugonia, Giuseppe	http://vocab.getty.edu/ulan/500175812	http://id.loc.gov/authorities/names/n82159910
Guiseppe Ugonia	Ugonia, Giuseppe	http://vocab.getty.edu/ulan/500175812	http://id.loc.gov/authorities/names/n82159910
Micha Ullman	Ullman, Micha	http://vocab.getty.edu/ulan/500123743	http://id.loc.gov/authorities/names/nr91006381
M. Micha Ullman	Ullman, Micha	http://vocab.getty.edu/ulan/500123743	http://id.loc.gov/authorities/names/nr91006381
M Micha Ullman	Ullman, Micha	http://vocab.getty.edu/ulan/500123743	http://id.loc.gov/authorities/names/nr91006381
M Ullman	Ullman, Micha	http://vocab.getty.edu/ulan/500123743	http://id.loc.gov/authorities/names/nr91006381
M. Ullman	Ullman, Micha	http://vocab.getty.edu/ulan/500123743	http://id.loc.gov/authorities/names/nr91006381
Ullman	Ullman, Micha	http://vocab.getty.edu/ulan/500123743	http://id.loc.gov/authorities/names/nr91006381
Ulman, Mikhah	Ullman, Micha	http://vocab.getty.edu/ulan/500123743	http://id.loc.gov/authorities/names/nr91006381
Di Nerio, Ugolino	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
M. Ugolino di Nerio	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino di Nerio	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
M Ugolino di Nerio	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Nerio, Ugolino di	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino di Nerio da Siena	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino da Nerio	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino di Neri	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino da Siena	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino Di Nerio	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino Da Siena	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino, da Siena	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino di Pietro	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Ugolino	Ugolino di Nerio	http://vocab.getty.edu/ulan/500008502	http://id.loc.gov/authorities/names/nr91028515
Marvin Ullman	Ullman, Marvin	http://vocab.getty.edu/ulan/500074489
M Ullman	Ullman, Marvin	http://vocab.getty.edu/ulan/500074489
M. Ullman	Ullman, Marvin	http://vocab.getty.edu/ulan/500074489
M Marvin Ullman	Ullman, Marvin	http://vocab.getty.edu/ulan/500074489
M. Marvin Ullman	Ullman, Marvin	http://vocab.getty.edu/ulan/500074489
Ullman	Ullman, Marvin	http://vocab.getty.edu/ulan/500074489
Heinrich Ulrich	Ulrich, Heinrich	http://vocab.getty.edu/ulan/500110234
M. Ulrich	Ulrich, Heinrich	http://vocab.getty.edu/ulan/500110234
Ulrich	Ulrich, Heinrich	http://vocab.getty.edu/ulan/500110234
H. Ulrich	Ulrich, Heinrich	http://vocab.getty.edu/ulan/500110234
H Ulrich	Ulrich, Heinrich	http://vocab.getty.edu/ulan/500110234
M Ulrich	Ulrich, Heinrich	http://vocab.getty.edu/ulan/500110234
M Heinrich Ulrich	Ulrich, Heinrich	http://vocab.getty.edu/ulan/500110234
M. Heinrich Ulrich	Ulrich, Heinrich	http://vocab.getty.edu/ulan/500110234
Henrik Ulfstedt	Ulfstedt, Henrik	http://vocab.getty.edu/ulan/500100050
H. Ulfstedt	Ulfstedt, Henrik	http://vocab.getty.edu/ulan/500100050
M Ulfstedt	Ulfstedt, Henrik	http://vocab.getty.edu/ulan/500100050
M Henrik Ulfstedt	Ulfstedt, Henrik	http://vocab.getty.edu/ulan/500100050
Ulfstedt	Ulfstedt, Henrik	http://vocab.getty.edu/ulan/500100050
M. Ulfstedt	Ulfstedt, Henrik	http://vocab.getty.edu/ulan/500100050
M. Henrik Ulfstedt	Ulfstedt, Henrik	http://vocab.getty.edu/ulan/500100050
H Ulfstedt	Ulfstedt, Henrik	http://vocab.getty.edu/ulan/500100050
Therese Ugglas	Ugglas, Therese	http://vocab.getty.edu/ulan/500066232
T Ugglas	Ugglas, Therese	http://vocab.getty.edu/ulan/500066232
Mme Ugglas	Ugglas, Therese	http://vocab.getty.edu/ulan/500066232
Mme. Ugglas	Ugglas, Therese	http://vocab.getty.edu/ulan/500066232
Ugglas	Ugglas, Therese	http://vocab.getty.edu/ulan/500066232
T. Ugglas	Ugglas, Therese	http://vocab.getty.edu/ulan/500066232
Mme. Therese Ugglas	Ugglas, Therese	http://vocab.getty.edu/ulan/500066232
Mme Therese Ugglas	Ugglas, Therese	http://vocab.getty.edu/ulan/500066232
Simon Ushakov	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
Ushakov	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
M. Simon Ushakov	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
M. Ushakov	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
M Ushakov	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
S. Ushakov	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
M Simon Ushakov	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
S Ushakov	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
Ouchakov, Simon	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
Ushakov, Simon Fyodorovich	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
Ushakov, Pimen	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
Ushakov, Pimen Fyodorovich	Ushakov, Simon	http://vocab.getty.edu/ulan/500064714	http://id.loc.gov/authorities/names/nr88010516
Christian Friedrich Traugott Uhlemann	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
M. Christian Friedrich Traugott Uhlemann	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
Uhlemann	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
C. F. T. Uhlemann	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
M Christian Friedrich Traugott Uhlemann	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
C F T Uhlemann	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
M Uhlemann	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
M. Uhlemann	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
Uhlmann, Christian Friedrich Traugott	Uhlemann, Christian Friedrich Traugott	http://vocab.getty.edu/ulan/500055584
Maria Uddén	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
M. Uddén	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
Mme Maria Uddén	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
M Uddén	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
Uddén	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
Mme Uddén	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
Mme. Maria Uddén	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
Mme. Uddén	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
Udden, Maria	Uddén, Maria	http://vocab.getty.edu/ulan/500021512
Gert Uhrhahn	Uhrhahn, Gert	http://vocab.getty.edu/ulan/500244607
M Gert Uhrhahn	Uhrhahn, Gert	http://vocab.getty.edu/ulan/500244607
G. Uhrhahn	Uhrhahn, Gert	http://vocab.getty.edu/ulan/500244607
M Uhrhahn	Uhrhahn, Gert	http://vocab.getty.edu/ulan/500244607
M. Uhrhahn	Uhrhahn, Gert	http://vocab.getty.edu/ulan/500244607
Uhrhahn	Uhrhahn, Gert	http://vocab.getty.edu/ulan/500244607
M. Gert Uhrhahn	Uhrhahn, Gert	http://vocab.getty.edu/ulan/500244607
G Uhrhahn	Uhrhahn, Gert	http://vocab.getty.edu/ulan/500244607
Giuseppe Ugolini	Ugolini, Giuseppe	http://vocab.getty.edu/ulan/500175807
M Ugolini	Ugolini, Giuseppe	http://vocab.getty.edu/ulan/500175807
G Ugolini	Ugolini, Giuseppe	http://vocab.getty.edu/ulan/500175807
Ugolini	Ugolini, Giuseppe	http://vocab.getty.edu/ulan/500175807
M. Giuseppe Ugolini	Ugolini, Giuseppe	http://vocab.getty.edu/ulan/500175807
M Giuseppe Ugolini	Ugolini, Giuseppe	http://vocab.getty.edu/ulan/500175807
M. Ugolini	Ugolini, Giuseppe	http://vocab.getty.edu/ulan/500175807
G. Ugolini	Ugolini, Giuseppe	http://vocab.getty.edu/ulan/500175807
Zlatko Ugljen	Ugljen, Zlatko	http://vocab.getty.edu/ulan/500093156
M Ugljen	Ugljen, Zlatko	http://vocab.getty.edu/ulan/500093156
Z Ugljen	Ugljen, Zlatko	http://vocab.getty.edu/ulan/500093156
Z. Ugljen	Ugljen, Zlatko	http://vocab.getty.edu/ulan/500093156
Ugljen	Ugljen, Zlatko	http://vocab.getty.edu/ulan/500093156
M. Ugljen	Ugljen, Zlatko	http://vocab.getty.edu/ulan/500093156
M. Zlatko Ugljen	Ugljen, Zlatko	http://vocab.getty.edu/ulan/500093156
M Zlatko Ugljen	Ugljen, Zlatko	http://vocab.getty.edu/ulan/500093156
Luis Maria Uriarte Aldaiturriaga	Uriarte Aldaiturriaga, Luis Maria	http://vocab.getty.edu/ulan/500235974
L M Uriarte Aldaiturriaga	Uriarte Aldaiturriaga, Luis Maria	http://vocab.getty.edu/ulan/500235974
M. Uriarte Aldaiturriaga	Uriarte Aldaiturriaga, Luis Maria	http://vocab.getty.edu/ulan/500235974
Uriarte Aldaiturriaga	Uriarte Aldaiturriaga, Luis Maria	http://vocab.getty.edu/ulan/500235974
M Uriarte Aldaiturriaga	Uriarte Aldaiturriaga, Luis Maria	http://vocab.getty.edu/ulan/500235974
M. Luis Maria Uriarte Aldaiturriaga	Uriarte Aldaiturriaga, Luis Maria	http://vocab.getty.edu/ulan/500235974
M Luis Maria Uriarte Aldaiturriaga	Uriarte Aldaiturriaga, Luis Maria	http://vocab.getty.edu/ulan/500235974
L. M. Uriarte Aldaiturriaga	Uriarte Aldaiturriaga, Luis Maria	http://vocab.getty.edu/ulan/500235974
Jacques Ullman	Ullman, Jacques	http://vocab.getty.edu/ulan/500241732
M Ullman	Ullman, Jacques	http://vocab.getty.edu/ulan/500241732
M. Jacques Ullman	Ullman, Jacques	http://vocab.getty.edu/ulan/500241732
M Jacques Ullman	Ullman, Jacques	http://vocab.getty.edu/ulan/500241732
J. Ullman	Ullman, Jacques	http://vocab.getty.edu/ulan/500241732
M. Ullman	Ullman, Jacques	http://vocab.getty.edu/ulan/500241732
J Ullman	Ullman, Jacques	http://vocab.getty.edu/ulan/500241732
Ullman	Ullman, Jacques	http://vocab.getty.edu/ulan/500241732
Rombout Uylenburgh	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
M Rombout Uylenburgh	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
R Uylenburgh	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
M. Rombout Uylenburgh	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
Uylenburgh	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
R. Uylenburgh	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
M. Uylenburgh	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
M Uylenburgh	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
Ulenborch, Rombout	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
Ulenburgh, Rombout	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
Uylenburch, Rombout van	Uylenburgh, Rombout	http://vocab.getty.edu/ulan/500043385
Alan Uglow	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
M. Uglow	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
M Alan Uglow	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
M. Alan Uglow	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
M Uglow	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
A. Uglow	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
Uglow	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
A Uglow	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
Uglow, Alan Philip	Uglow, Alan	http://vocab.getty.edu/ulan/500072149	http://id.loc.gov/authorities/names/n95006264
Agostino Gaetano Ugolini	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
M Ugolini	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
A. G. Ugolini	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
M Agostino Gaetano Ugolini	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
Ugolini	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
A G Ugolini	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
M. Agostino Gaetano Ugolini	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
M. Ugolini	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
Ugolini, Agostino	Ugolini, Agostino Gaetano	http://vocab.getty.edu/ulan/500019875	http://id.loc.gov/authorities/names/no96013569
Saskia van Uylenburch	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
S Uylenburch	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
Mme. Uylenburch	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
Mme. Saskia van Uylenburch	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
Mme Saskia van Uylenburch	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
S. Uylenburch	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
Uylenburch	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
Mme Uylenburch	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
Uylenburgh, Saskia	Uylenburch, Saskia van	http://vocab.getty.edu/ulan/500043384
Iwao Uchida	Uchida, Iwao	http://vocab.getty.edu/ulan/500122821	http://id.loc.gov/authorities/names/n84113199
M Iwao Uchida	Uchida, Iwao	http://vocab.getty.edu/ulan/500122821	http://id.loc.gov/authorities/names/n84113199
M. Iwao Uchida	Uchida, Iwao	http://vocab.getty.edu/ulan/500122821	http://id.loc.gov/authorities/names/n84113199
I. Uchida	Uchida, Iwao	http://vocab.getty.edu/ulan/500122821	http://id.loc.gov/authorities/names/n84113199
Uchida	Uchida, Iwao	http://vocab.getty.edu/ulan/500122821	http://id.loc.gov/authorities/names/n84113199
M Uchida	Uchida, Iwao	http://vocab.getty.edu/ulan/500122821	http://id.loc.gov/authorities/names/n84113199
I Uchida	Uchida, Iwao	http://vocab.getty.edu/ulan/500122821	http://id.loc.gov/authorities/names/n84113199
M. Uchida	Uchida, Iwao	http://vocab.getty.edu/ulan/500122821	http://id.loc.gov/authorities/names/n84113199
Carlos Ugarte Salcedo	Ugarte Salcedo, Carlos	http://vocab.getty.edu/ulan/500235309
C Ugarte Salcedo	Ugarte Salcedo, Carlos	http://vocab.getty.edu/ulan/500235309
M. Carlos Ugarte Salcedo	Ugarte Salcedo, Carlos	http://vocab.getty.edu/ulan/500235309
M Ugarte Salcedo	Ugarte Salcedo, Carlos	http://vocab.getty.edu/ulan/500235309
C. Ugarte Salcedo	Ugarte Salcedo, Carlos	http://vocab.getty.edu/ulan/500235309
Ugarte Salcedo	Ugarte Salcedo, Carlos	http://vocab.getty.edu/ulan/500235309
M. Ugarte Salcedo	Ugarte Salcedo, Carlos	http://vocab.getty.edu/ulan/500235309
M Carlos Ugarte Salcedo	Ugarte Salcedo, Carlos	http://vocab.getty.edu/ulan/500235309
José María Uria Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
J M Uria Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
M. Uria Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
Uria Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
M José María Uria Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
J. M. Uria Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
M. José María Uria Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
M Uria Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
Uria y Nava, José María	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
Uria y Uria, José	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
Uria, José	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
Uria Y Uria, Jose Maria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
Jose Maria Uria Y Uria	Uria Uria, José María	http://vocab.getty.edu/ulan/500038104
Feliu Urgellès de Tovar	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
M. Feliu Urgellès de Tovar	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
M. Urgellès de Tovar	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
F. Urgellès de Tovar	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
M Feliu Urgellès de Tovar	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
M Urgellès de Tovar	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
F Urgellès de Tovar	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
Urgellès de Tovar	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
Urgelles de Tobar, Félix	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
Urgellès de Tovar, Félix	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
Urgellés, Félix	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
Tovar, Feliu Urgellès de	Urgellès de Tovar, Feliu	http://vocab.getty.edu/ulan/500038102
José María Fernández Urbina	Urbina, José María Fernández	http://vocab.getty.edu/ulan/500118532
J. M. F. Urbina	Urbina, José María Fernández	http://vocab.getty.edu/ulan/500118532
Urbina	Urbina, José María Fernández	http://vocab.getty.edu/ulan/500118532
M Urbina	Urbina, José María Fernández	http://vocab.getty.edu/ulan/500118532
J M F Urbina	Urbina, José María Fernández	http://vocab.getty.edu/ulan/500118532
M José María Fernández Urbina	Urbina, José María Fernández	http://vocab.getty.edu/ulan/500118532
M. José María Fernández Urbina	Urbina, José María Fernández	http://vocab.getty.edu/ulan/500118532
M. Urbina	Urbina, José María Fernández	http://vocab.getty.edu/ulan/500118532
Eduardo Urquiola y Aguirre	Urquiola y Aguirre, Eduardo	http://vocab.getty.edu/ulan/500038107
M Urquiola y Aguirre	Urquiola y Aguirre, Eduardo	http://vocab.getty.edu/ulan/500038107
M Eduardo Urquiola y Aguirre	Urquiola y Aguirre, Eduardo	http://vocab.getty.edu/ulan/500038107
E Urquiola y Aguirre	Urquiola y Aguirre, Eduardo	http://vocab.getty.edu/ulan/500038107
E. Urquiola y Aguirre	Urquiola y Aguirre, Eduardo	http://vocab.getty.edu/ulan/500038107
M. Eduardo Urquiola y Aguirre	Urquiola y Aguirre, Eduardo	http://vocab.getty.edu/ulan/500038107
Urquiola y Aguirre	Urquiola y Aguirre, Eduardo	http://vocab.getty.edu/ulan/500038107
