Arne Åmland	Åmland, Arne	http://vocab.getty.edu/ulan/500253146
S. Ávila	Ávila, Sara	http://vocab.getty.edu/ulan/500338644	http://id.loc.gov/authorities/names/no2003023846
Mme Ávila	Ávila, Sara	http://vocab.getty.edu/ulan/500338644	http://id.loc.gov/authorities/names/no2003023846
Mme Sara Ávila	Ávila, Sara	http://vocab.getty.edu/ulan/500338644	http://id.loc.gov/authorities/names/no2003023846
S Ávila	Ávila, Sara	http://vocab.getty.edu/ulan/500338644	http://id.loc.gov/authorities/names/no2003023846
Avila, Sara	Ávila, Sara	http://vocab.getty.edu/ulan/500338644	http://id.loc.gov/authorities/names/no2003023846
Oliveira, Sara Avila de	Ávila, Sara	http://vocab.getty.edu/ulan/500338644	http://id.loc.gov/authorities/names/no2003023846
Avila de Oliveira, Sara	Ávila, Sara	http://vocab.getty.edu/ulan/500338644	http://id.loc.gov/authorities/names/no2003023846
Güngör İblıkçı	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
M. Güngör İblıkçı	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
M Güngör İblıkçı	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
G. İblıkçı	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
M. İblıkçı	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
G İblıkçı	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
M İblıkçı	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
İblıkçı	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
Iblicki, Gungor	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
Gungor Iblicki	İblıkçı, Güngör	http://vocab.getty.edu/ulan/500147506
Lisette Ávila de Delgado	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
Mme. Ávila de Delgado	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
Mme Ávila de Delgado	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
L Ávila de Delgado	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
Mme. Lisette Ávila de Delgado	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
L. Ávila de Delgado	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
Mme Lisette Ávila de Delgado	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
Ávila de Delgado	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
Ávila, Lisette	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
Delgado, Lisette Ávila de	Ávila de Delgado, Lisette	http://vocab.getty.edu/ulan/500272207
Hafiz	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
M Ḥāfiẓ	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
M. Ḥāfiẓ	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Ḥāfiẓ	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Ḥāfiz	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Ḥāfeẓ	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Hafez	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Šams-al-Din Moḥammad, of Shiraz	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Moḥammed Shams od-Dīn Ḥafeẓ	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Moḥammed Šams al-Dīn Ḥafeẓ	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Hafis	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Shams al-Dīn Muḥammad Shīrāzī	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Shams-ud-Din Mohammed	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Khafiz	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Shamsoddin Mohammad Hafez-e Shirazi	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Ḥāfiẓ Shīrāzī	Ḥāfiẓ	http://vocab.getty.edu/ulan/500329586	http://id.loc.gov/authorities/names/n79086812
Vlaclas Žilius	Žilius, Vlaclas	http://vocab.getty.edu/ulan/500121225
M. Vlaclas Žilius	Žilius, Vlaclas	http://vocab.getty.edu/ulan/500121225
M Žilius	Žilius, Vlaclas	http://vocab.getty.edu/ulan/500121225
V. Žilius	Žilius, Vlaclas	http://vocab.getty.edu/ulan/500121225
M Vlaclas Žilius	Žilius, Vlaclas	http://vocab.getty.edu/ulan/500121225
M. Žilius	Žilius, Vlaclas	http://vocab.getty.edu/ulan/500121225
V Žilius	Žilius, Vlaclas	http://vocab.getty.edu/ulan/500121225
Žilius	Žilius, Vlaclas	http://vocab.getty.edu/ulan/500121225
Austria.  Anonymous collection	Österreich. Anonymous collection	http://vocab.getty.edu/ulan/500365589
M Österreich.  Anonymous collection	Österreich. Anonymous collection	http://vocab.getty.edu/ulan/500365589
M. Österreich.  Anonymous collection	Österreich. Anonymous collection	http://vocab.getty.edu/ulan/500365589
Österreich.  Anonymous collection	Österreich. Anonymous collection	http://vocab.getty.edu/ulan/500365589
Osterreich.  Anonymous collection	Österreich. Anonymous collection	http://vocab.getty.edu/ulan/500365589
Teodor Ilić Češljar	Češljar, Teodor Ilić	http://vocab.getty.edu/ulan/500059924
Češljar	Češljar, Teodor Ilić	http://vocab.getty.edu/ulan/500059924
T. I. Češljar	Češljar, Teodor Ilić	http://vocab.getty.edu/ulan/500059924
M. Teodor Ilić Češljar	Češljar, Teodor Ilić	http://vocab.getty.edu/ulan/500059924
M. Češljar	Češljar, Teodor Ilić	http://vocab.getty.edu/ulan/500059924
M Teodor Ilić Češljar	Češljar, Teodor Ilić	http://vocab.getty.edu/ulan/500059924
M Češljar	Češljar, Teodor Ilić	http://vocab.getty.edu/ulan/500059924
T I Češljar	Češljar, Teodor Ilić	http://vocab.getty.edu/ulan/500059924
Josef Šlégl	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
Šlégl	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
M Josef Šlégl	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
M. Šlégl	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
J. Šlégl	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
M. Josef Šlégl	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
M Šlégl	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
J Šlégl	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
Slegl, Josef	Šlégl, Josef	http://vocab.getty.edu/ulan/500230760
Emil Österman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
Österman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
E Österman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
M. Emil Österman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
M Emil Österman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
M Österman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
E. Österman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
M. Österman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
Osterman, Carl Emil	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
Osterman, Emil	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
Osterman, Karl Emil	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
Carl Emil Osterman	Österman, Emil	http://vocab.getty.edu/ulan/500064599	http://id.loc.gov/authorities/names/n94004071
Çendo Bolanes	Çendo Bolanes	http://vocab.getty.edu/ulan/500051684
M Çendo Bolanes	Çendo Bolanes	http://vocab.getty.edu/ulan/500051684
M. Çendo Bolanes	Çendo Bolanes	http://vocab.getty.edu/ulan/500051684
Juliusz Żórawski	Żórawski, Juliusz	http://vocab.getty.edu/ulan/500120339	http://id.loc.gov/authorities/names/nb2010010808
M. Żórawski	Żórawski, Juliusz	http://vocab.getty.edu/ulan/500120339	http://id.loc.gov/authorities/names/nb2010010808
J. Żórawski	Żórawski, Juliusz	http://vocab.getty.edu/ulan/500120339	http://id.loc.gov/authorities/names/nb2010010808
J Żórawski	Żórawski, Juliusz	http://vocab.getty.edu/ulan/500120339	http://id.loc.gov/authorities/names/nb2010010808
M. Juliusz Żórawski	Żórawski, Juliusz	http://vocab.getty.edu/ulan/500120339	http://id.loc.gov/authorities/names/nb2010010808
M Żórawski	Żórawski, Juliusz	http://vocab.getty.edu/ulan/500120339	http://id.loc.gov/authorities/names/nb2010010808
M Juliusz Żórawski	Żórawski, Juliusz	http://vocab.getty.edu/ulan/500120339	http://id.loc.gov/authorities/names/nb2010010808
Żórawski	Żórawski, Juliusz	http://vocab.getty.edu/ulan/500120339	http://id.loc.gov/authorities/names/nb2010010808
Šaloun, Ladislav Jan	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
M Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
L. Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
M Ladislav Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
L Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
Ladislav Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
M. Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
M. Ladislav Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
Ladislav Jan Šaloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
Šaloun, Ladislaus	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
Saloun, Ladislav J.	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
Ladislav J. Saloun	Šaloun, Ladislav	http://vocab.getty.edu/ulan/500095945	http://id.loc.gov/authorities/names/nr2001024063
J. D. Okhai 'Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
J D O 'Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
M J. D. Okhai 'Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
'Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
M. J. D. Okhai 'Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
M 'Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
J. D. O. 'Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
M. 'Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
J. D. Okhai Ojeikere	' Ojeikere, J. D. Okhai	http://vocab.getty.edu/ulan/500356749
Alena Šrámková	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
Mme Alena Šrámková	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
Mme. Šrámková	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
Šrámková	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
Mme Šrámková	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
A Šrámková	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
Mme. Alena Šrámková	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
A. Šrámková	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
Srámkóva, Alena	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
Alena Srámkóva	Šrámková, Alena	http://vocab.getty.edu/ulan/500032878	http://id.loc.gov/authorities/names/nr93001298
Francis Paul Étienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
Étienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
F. P. Étienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
F P Étienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
M Francis Paul Étienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
M. Francis Paul Étienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
M. Étienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
M Étienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
Etienne, François-Paul	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
Etienne, Francois-Paul	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
Étienne, Paolo	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
Francois-Paul Etienne	Étienne, Francis Paul	http://vocab.getty.edu/ulan/500081292
ʻAlauʼd-Din Khalji	ʻAlāʼ al Dīn Khaljī	http://vocab.getty.edu/ulan/500356882
M. ʻAlāʼ al Dīn Khaljī	ʻAlāʼ al Dīn Khaljī	http://vocab.getty.edu/ulan/500356882
ʻAlāʼ al Dīn Khaljī	ʻAlāʼ al Dīn Khaljī	http://vocab.getty.edu/ulan/500356882
M ʻAlāʼ al Dīn Khaljī	ʻAlāʼ al Dīn Khaljī	http://vocab.getty.edu/ulan/500356882
Ala al-Din Khalji	ʻAlāʼ al Dīn Khaljī	http://vocab.getty.edu/ulan/500356882
Jūnā Khan	ʻAlāʼ al Dīn Khaljī	http://vocab.getty.edu/ulan/500356882
Allaudin Muhammad	ʻAlāʼ al Dīn Khaljī	http://vocab.getty.edu/ulan/500356882
Allaudin Khilji	ʻAlāʼ al Dīn Khaljī	http://vocab.getty.edu/ulan/500356882
Đinh Ý Nhi	Đinh Ý Nhi	http://vocab.getty.edu/ulan/500123143
Mme. Đinh Ý Nhi	Đinh Ý Nhi	http://vocab.getty.edu/ulan/500123143
Mme Đinh Ý Nhi	Đinh Ý Nhi	http://vocab.getty.edu/ulan/500123143
Tōkō Ōide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
T Ōide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
M Tōkō Ōide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
M Ōide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
M. Tōkō Ōide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
M. Ōide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Ōide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
T. Ōide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Ōide Tōkō	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Tôkô, Ôide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Ôide Tôkô	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Ōide Aya	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Sokō	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Ajirō	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Kagyūkutsu	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Tōkō	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Toko, Oide	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
Oide Toko	Ōide, Tōkō	http://vocab.getty.edu/ulan/500331797
M. Đỗ Quang Em	Đỗ Quang Em	http://vocab.getty.edu/ulan/500123145
M Đỗ Quang Em	Đỗ Quang Em	http://vocab.getty.edu/ulan/500123145
Đỗ Quang Em	Đỗ Quang Em	http://vocab.getty.edu/ulan/500123145
Yalçin Özückren	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
M Yalçin Özückren	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
Y Özückren	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
M. Yalçin Özückren	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
Y. Özückren	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
M. Özückren	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
M Özückren	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
Özückren	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
Ozuckren, Yalcin	Özückren, Yalçin	http://vocab.getty.edu/ulan/500253132
M. Đỗ Kỳ Hoàng	Đỗ Kỳ Hoàng	http://vocab.getty.edu/ulan/500123144
Đỗ Kỳ Hoàng	Đỗ Kỳ Hoàng	http://vocab.getty.edu/ulan/500123144
M Đỗ Kỳ Hoàng	Đỗ Kỳ Hoàng	http://vocab.getty.edu/ulan/500123144
Stefan Öttl	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
M. Stefan Öttl	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
M Stefan Öttl	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
Öttl	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
S Öttl	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
M Öttl	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
S. Öttl	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
M. Öttl	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
Ottl, Stefan	Öttl, Stefan	http://vocab.getty.edu/ulan/500224553
'Abdallah Sayrafi	`Abdallah Sayrafi	http://vocab.getty.edu/ulan/500334059
M. `Abdallah Sayrafi	`Abdallah Sayrafi	http://vocab.getty.edu/ulan/500334059
M `Abdallah Sayrafi	`Abdallah Sayrafi	http://vocab.getty.edu/ulan/500334059
`Abdallah Sayrafi	`Abdallah Sayrafi	http://vocab.getty.edu/ulan/500334059
ʻAbdallah Sayrafi	`Abdallah Sayrafi	http://vocab.getty.edu/ulan/500334059
'Abdallah al-Sayrafi	`Abdallah Sayrafi	http://vocab.getty.edu/ulan/500334059
`Abdallāh al-Ṣayrafī	`Abdallah Sayrafi	http://vocab.getty.edu/ulan/500334059
Finn Bjerre Østergaard	Østergaard, Finn Bjerre	http://vocab.getty.edu/ulan/500255580
M. Østergaard	Østergaard, Finn Bjerre	http://vocab.getty.edu/ulan/500255580
M Østergaard	Østergaard, Finn Bjerre	http://vocab.getty.edu/ulan/500255580
Østergaard	Østergaard, Finn Bjerre	http://vocab.getty.edu/ulan/500255580
M. Finn Bjerre Østergaard	Østergaard, Finn Bjerre	http://vocab.getty.edu/ulan/500255580
M Finn Bjerre Østergaard	Østergaard, Finn Bjerre	http://vocab.getty.edu/ulan/500255580
