V Xenou	Xenou, Vana (1949--)	http://data.bnf.fr/ark:/12148/cb12523542r#foaf:Person	http://www.idref.fr/034483543
M Ximénez	Ximénez, Francisco (1666--)	http://data.bnf.fr/ark:/12148/cb12134375x#foaf:Person	http://dbpedia.org/resource/Francisco_Ximénez	http://www.idref.fr/029794323
M. Ximénez	Ximénez, Francisco (1666--)	http://data.bnf.fr/ark:/12148/cb12134375x#foaf:Person	http://dbpedia.org/resource/Francisco_Ximénez	http://www.idref.fr/029794323
M. Francisco Ximénez	Ximénez, Francisco (1666--)	http://data.bnf.fr/ark:/12148/cb12134375x#foaf:Person	http://dbpedia.org/resource/Francisco_Ximénez	http://www.idref.fr/029794323
F Ximénez	Ximénez, Francisco (1666--)	http://data.bnf.fr/ark:/12148/cb12134375x#foaf:Person	http://dbpedia.org/resource/Francisco_Ximénez	http://www.idref.fr/029794323
Ximénez	Ximénez, Francisco (1666--)	http://data.bnf.fr/ark:/12148/cb12134375x#foaf:Person	http://dbpedia.org/resource/Francisco_Ximénez	http://www.idref.fr/029794323
F. Ximénez	Ximénez, Francisco (1666--)	http://data.bnf.fr/ark:/12148/cb12134375x#foaf:Person	http://dbpedia.org/resource/Francisco_Ximénez	http://www.idref.fr/029794323
Francisco Ximénez	Ximénez, Francisco (1666--)	http://data.bnf.fr/ark:/12148/cb12134375x#foaf:Person	http://dbpedia.org/resource/Francisco_Ximénez	http://www.idref.fr/029794323
M. X	X (---)	http://data.bnf.fr/ark:/12148/cb14504013w#foaf:Person
M X	X (---)	http://data.bnf.fr/ark:/12148/cb14504013w#foaf:Person
X	X (---)	http://data.bnf.fr/ark:/12148/cb14504013w#foaf:Person
Xiaojun Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
M. Xiao jun Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
X. Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
M. Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
X Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
M Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
M Xiao jun Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
Xiao jun Xing	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
小俊 邢	Xing, Xiao jun (---)	http://data.bnf.fr/ark:/12148/cb16972165b#foaf:Person
Siao Tan	Xiao Dan	http://data.bnf.fr/ark:/12148/cb16752220w#foaf:Person
M. Xiao Dan	Xiao Dan	http://data.bnf.fr/ark:/12148/cb16752220w#foaf:Person
M Xiao Dan	Xiao Dan	http://data.bnf.fr/ark:/12148/cb16752220w#foaf:Person
Xiao Dan	Xiao Dan	http://data.bnf.fr/ark:/12148/cb16752220w#foaf:Person
X Man	X Man (1974--)	http://data.bnf.fr/ark:/12148/cb14240348q#foaf:Person
M X Man	X Man (1974--)	http://data.bnf.fr/ark:/12148/cb14240348q#foaf:Person
M. X Man	X Man (1974--)	http://data.bnf.fr/ark:/12148/cb14240348q#foaf:Person
Jitian Xing	Xing, Jitian (---)	http://data.bnf.fr/ark:/12148/cb16752228n#foaf:Person
J. Xing	Xing, Jitian (---)	http://data.bnf.fr/ark:/12148/cb16752228n#foaf:Person
J Xing	Xing, Jitian (---)	http://data.bnf.fr/ark:/12148/cb16752228n#foaf:Person
M Jitian Xing	Xing, Jitian (---)	http://data.bnf.fr/ark:/12148/cb16752228n#foaf:Person
M. Xing	Xing, Jitian (---)	http://data.bnf.fr/ark:/12148/cb16752228n#foaf:Person
Xing	Xing, Jitian (---)	http://data.bnf.fr/ark:/12148/cb16752228n#foaf:Person
M Xing	Xing, Jitian (---)	http://data.bnf.fr/ark:/12148/cb16752228n#foaf:Person
M. Jitian Xing	Xing, Jitian (---)	http://data.bnf.fr/ark:/12148/cb16752228n#foaf:Person
xiao Xiao	Xiao xiao (---)	http://data.bnf.fr/ark:/12148/cb16599651f#foaf:Person
Mme. Xiao xiao	Xiao xiao (---)	http://data.bnf.fr/ark:/12148/cb16599651f#foaf:Person
Mme Xiao xiao	Xiao xiao (---)	http://data.bnf.fr/ark:/12148/cb16599651f#foaf:Person
Xiao xiao	Xiao xiao (---)	http://data.bnf.fr/ark:/12148/cb16599651f#foaf:Person
Xiaoxiao	Xiao xiao (---)	http://data.bnf.fr/ark:/12148/cb16599651f#foaf:Person
潇潇	Xiao xiao (---)	http://data.bnf.fr/ark:/12148/cb16599651f#foaf:Person
M. Xicart	Xicart, Josep (---)	http://data.bnf.fr/ark:/12148/cb156839493#foaf:Person	http://www.idref.fr/069426104
M Xicart	Xicart, Josep (---)	http://data.bnf.fr/ark:/12148/cb156839493#foaf:Person	http://www.idref.fr/069426104
Xicart	Xicart, Josep (---)	http://data.bnf.fr/ark:/12148/cb156839493#foaf:Person	http://www.idref.fr/069426104
J Xicart	Xicart, Josep (---)	http://data.bnf.fr/ark:/12148/cb156839493#foaf:Person	http://www.idref.fr/069426104
M. Josep Xicart	Xicart, Josep (---)	http://data.bnf.fr/ark:/12148/cb156839493#foaf:Person	http://www.idref.fr/069426104
M Josep Xicart	Xicart, Josep (---)	http://data.bnf.fr/ark:/12148/cb156839493#foaf:Person	http://www.idref.fr/069426104
J. Xicart	Xicart, Josep (---)	http://data.bnf.fr/ark:/12148/cb156839493#foaf:Person	http://www.idref.fr/069426104
Josep Xicart	Xicart, Josep (---)	http://data.bnf.fr/ark:/12148/cb156839493#foaf:Person	http://www.idref.fr/069426104
Wenwu Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
Wen wu Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
M Wen wu Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
M Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
M. Wen wu Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
W. Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
W Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
M. Xu	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
文武 徐	Xu, Wen wu (1964--)	http://data.bnf.fr/ark:/12148/cb169199968#foaf:Person
X. Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
M Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
M. Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
M. Xiaolan Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
X Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
X. Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
Xiaolan Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
M Xiaolan Xie	Xie, Xiaolan (---)	http://data.bnf.fr/ark:/12148/cb124610238#foaf:Person	http://www.idref.fr/033782296
V. Xardel	Xardel, Victoria (1988--)	http://data.bnf.fr/ark:/12148/cb16611034s#foaf:Person
Mme Xardel	Xardel, Victoria (1988--)	http://data.bnf.fr/ark:/12148/cb16611034s#foaf:Person
Victoria Xardel	Xardel, Victoria (1988--)	http://data.bnf.fr/ark:/12148/cb16611034s#foaf:Person
V Xardel	Xardel, Victoria (1988--)	http://data.bnf.fr/ark:/12148/cb16611034s#foaf:Person
Mme. Xardel	Xardel, Victoria (1988--)	http://data.bnf.fr/ark:/12148/cb16611034s#foaf:Person
Xardel	Xardel, Victoria (1988--)	http://data.bnf.fr/ark:/12148/cb16611034s#foaf:Person
Mme. Victoria Xardel	Xardel, Victoria (1988--)	http://data.bnf.fr/ark:/12148/cb16611034s#foaf:Person
Mme Victoria Xardel	Xardel, Victoria (1988--)	http://data.bnf.fr/ark:/12148/cb16611034s#foaf:Person
P. Xiberras	Xiberras, Patricia (---)	http://data.bnf.fr/ark:/12148/cb144275613#foaf:Person	http://www.idref.fr/069776105
Xiberras	Xiberras, Patricia (---)	http://data.bnf.fr/ark:/12148/cb144275613#foaf:Person	http://www.idref.fr/069776105
Mme. Xiberras	Xiberras, Patricia (---)	http://data.bnf.fr/ark:/12148/cb144275613#foaf:Person	http://www.idref.fr/069776105
Mme Patricia Xiberras	Xiberras, Patricia (---)	http://data.bnf.fr/ark:/12148/cb144275613#foaf:Person	http://www.idref.fr/069776105
P Xiberras	Xiberras, Patricia (---)	http://data.bnf.fr/ark:/12148/cb144275613#foaf:Person	http://www.idref.fr/069776105
Patricia Xiberras	Xiberras, Patricia (---)	http://data.bnf.fr/ark:/12148/cb144275613#foaf:Person	http://www.idref.fr/069776105
Mme. Patricia Xiberras	Xiberras, Patricia (---)	http://data.bnf.fr/ark:/12148/cb144275613#foaf:Person	http://www.idref.fr/069776105
Mme Xiberras	Xiberras, Patricia (---)	http://data.bnf.fr/ark:/12148/cb144275613#foaf:Person	http://www.idref.fr/069776105
X Alfonso	X Alfonso (---)	http://data.bnf.fr/ark:/12148/cb14604017f#foaf:Person
M X Alfonso	X Alfonso (---)	http://data.bnf.fr/ark:/12148/cb14604017f#foaf:Person
M. X Alfonso	X Alfonso (---)	http://data.bnf.fr/ark:/12148/cb14604017f#foaf:Person
F De Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
M Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
F. Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
M Francisco de Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
M. De Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
M De Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
M. Francisco de Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
M. de Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
Francisco de Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
De Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
F de Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
F. de Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
de Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
F Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
M de Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
F. De Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
M. Xerez	Xerez, Francisco de (1497-1565)	http://data.bnf.fr/ark:/12148/cb12339114q#foaf:Person
Qinqi Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
Q. Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
Q Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
M. Qin qi Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
Qin qi Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
M Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
M Qin qi Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
M. Xu	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
钦琦 徐	Xu, Qin qi (---)	http://data.bnf.fr/ark:/12148/cb167008023#foaf:Person
Đô ̃ Xuân Thu	Xuân Thu (1957--)	http://data.bnf.fr/ark:/12148/cb14605218k#foaf:Person	http://www.idref.fr/166620092
M. Xuân Thu	Xuân Thu (1957--)	http://data.bnf.fr/ark:/12148/cb14605218k#foaf:Person	http://www.idref.fr/166620092
Xuân Thu	Xuân Thu (1957--)	http://data.bnf.fr/ark:/12148/cb14605218k#foaf:Person	http://www.idref.fr/166620092
M Xuân Thu	Xuân Thu (1957--)	http://data.bnf.fr/ark:/12148/cb14605218k#foaf:Person	http://www.idref.fr/166620092
Nhị Kỳ	Xuân Thu (1957--)	http://data.bnf.fr/ark:/12148/cb14605218k#foaf:Person	http://www.idref.fr/166620092
Xuân Thu Đô ̃	Xuân Thu (1957--)	http://data.bnf.fr/ark:/12148/cb14605218k#foaf:Person	http://www.idref.fr/166620092
Chiêń Quôć	Xuân Thu (1957--)	http://data.bnf.fr/ark:/12148/cb14605218k#foaf:Person	http://www.idref.fr/166620092
Hoài Vũ	Xuân Thu (1957--)	http://data.bnf.fr/ark:/12148/cb14605218k#foaf:Person	http://www.idref.fr/166620092
M. Rui Xiong	Xiong, Rui (---)	http://data.bnf.fr/ark:/12148/cb156514337#foaf:Person
Rui Xiong	Xiong, Rui (---)	http://data.bnf.fr/ark:/12148/cb156514337#foaf:Person
M Rui Xiong	Xiong, Rui (---)	http://data.bnf.fr/ark:/12148/cb156514337#foaf:Person
R. Xiong	Xiong, Rui (---)	http://data.bnf.fr/ark:/12148/cb156514337#foaf:Person
Xiong	Xiong, Rui (---)	http://data.bnf.fr/ark:/12148/cb156514337#foaf:Person
R Xiong	Xiong, Rui (---)	http://data.bnf.fr/ark:/12148/cb156514337#foaf:Person
M Xiong	Xiong, Rui (---)	http://data.bnf.fr/ark:/12148/cb156514337#foaf:Person
M. Xiong	Xiong, Rui (---)	http://data.bnf.fr/ark:/12148/cb156514337#foaf:Person
M. Deshen Xia	Xia, Deshen (1961--)	http://data.bnf.fr/ark:/12148/cb12425308b#foaf:Person	http://www.idref.fr/033381631
M. Xia	Xia, Deshen (1961--)	http://data.bnf.fr/ark:/12148/cb12425308b#foaf:Person	http://www.idref.fr/033381631
D. Xia	Xia, Deshen (1961--)	http://data.bnf.fr/ark:/12148/cb12425308b#foaf:Person	http://www.idref.fr/033381631
D Xia	Xia, Deshen (1961--)	http://data.bnf.fr/ark:/12148/cb12425308b#foaf:Person	http://www.idref.fr/033381631
M Deshen Xia	Xia, Deshen (1961--)	http://data.bnf.fr/ark:/12148/cb12425308b#foaf:Person	http://www.idref.fr/033381631
Deshen Xia	Xia, Deshen (1961--)	http://data.bnf.fr/ark:/12148/cb12425308b#foaf:Person	http://www.idref.fr/033381631
M Xia	Xia, Deshen (1961--)	http://data.bnf.fr/ark:/12148/cb12425308b#foaf:Person	http://www.idref.fr/033381631
Xia	Xia, Deshen (1961--)	http://data.bnf.fr/ark:/12148/cb12425308b#foaf:Person	http://www.idref.fr/033381631
M Xuân Tùng	Xuân Tùng (---)	http://data.bnf.fr/ark:/12148/cb130197048#foaf:Person	http://www.idref.fr/050144162
M. Xuân Tùng	Xuân Tùng (---)	http://data.bnf.fr/ark:/12148/cb130197048#foaf:Person	http://www.idref.fr/050144162
Xuân Tùng	Xuân Tùng (---)	http://data.bnf.fr/ark:/12148/cb130197048#foaf:Person	http://www.idref.fr/050144162
M Patrick Xavier	Xavier, Patrick (---)	http://data.bnf.fr/ark:/12148/cb12492891t#foaf:Person	http://www.idref.fr/034141081
M Xavier	Xavier, Patrick (---)	http://data.bnf.fr/ark:/12148/cb12492891t#foaf:Person	http://www.idref.fr/034141081
P. Xavier	Xavier, Patrick (---)	http://data.bnf.fr/ark:/12148/cb12492891t#foaf:Person	http://www.idref.fr/034141081
P Xavier	Xavier, Patrick (---)	http://data.bnf.fr/ark:/12148/cb12492891t#foaf:Person	http://www.idref.fr/034141081
M. Patrick Xavier	Xavier, Patrick (---)	http://data.bnf.fr/ark:/12148/cb12492891t#foaf:Person	http://www.idref.fr/034141081
M. Xavier	Xavier, Patrick (---)	http://data.bnf.fr/ark:/12148/cb12492891t#foaf:Person	http://www.idref.fr/034141081
Patrick Xavier	Xavier, Patrick (---)	http://data.bnf.fr/ark:/12148/cb12492891t#foaf:Person	http://www.idref.fr/034141081
Xavier	Xavier, Patrick (---)	http://data.bnf.fr/ark:/12148/cb12492891t#foaf:Person	http://www.idref.fr/034141081
B Xiang	Xiang, Betty (1960--)	http://data.bnf.fr/ark:/12148/cb169421035#foaf:Person
Xiang	Xiang, Betty (1960--)	http://data.bnf.fr/ark:/12148/cb169421035#foaf:Person
B. Xiang	Xiang, Betty (1960--)	http://data.bnf.fr/ark:/12148/cb169421035#foaf:Person
M. Betty Xiang	Xiang, Betty (1960--)	http://data.bnf.fr/ark:/12148/cb169421035#foaf:Person
M Xiang	Xiang, Betty (1960--)	http://data.bnf.fr/ark:/12148/cb169421035#foaf:Person
M. Xiang	Xiang, Betty (1960--)	http://data.bnf.fr/ark:/12148/cb169421035#foaf:Person
Betty Xiang	Xiang, Betty (1960--)	http://data.bnf.fr/ark:/12148/cb169421035#foaf:Person
M Betty Xiang	Xiang, Betty (1960--)	http://data.bnf.fr/ark:/12148/cb169421035#foaf:Person
Hunyi zi	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
M Xiao	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
dao cun Xiao	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
M dao cun Xiao	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
Xiao	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
M. dao cun Xiao	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
M. Xiao	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
Daocun Xiao	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
道存 蕭	Xiao, dao cun (---)	http://data.bnf.fr/ark:/12148/cb13559863r#foaf:Person
Z. Xun	Xun, Zhou (---)	http://data.bnf.fr/ark:/12148/cb145664560#foaf:Person
M Xun	Xun, Zhou (---)	http://data.bnf.fr/ark:/12148/cb145664560#foaf:Person
Zhou Xun	Xun, Zhou (---)	http://data.bnf.fr/ark:/12148/cb145664560#foaf:Person
M Zhou Xun	Xun, Zhou (---)	http://data.bnf.fr/ark:/12148/cb145664560#foaf:Person
M. Zhou Xun	Xun, Zhou (---)	http://data.bnf.fr/ark:/12148/cb145664560#foaf:Person
M. Xun	Xun, Zhou (---)	http://data.bnf.fr/ark:/12148/cb145664560#foaf:Person
Z Xun	Xun, Zhou (---)	http://data.bnf.fr/ark:/12148/cb145664560#foaf:Person
Xun	Xun, Zhou (---)	http://data.bnf.fr/ark:/12148/cb145664560#foaf:Person
Jianyong Xia	Xia, jian yong (1950--)	http://data.bnf.fr/ark:/12148/cb15119887h#foaf:Person
M. Xia	Xia, jian yong (1950--)	http://data.bnf.fr/ark:/12148/cb15119887h#foaf:Person
M. jian yong Xia	Xia, jian yong (1950--)	http://data.bnf.fr/ark:/12148/cb15119887h#foaf:Person
