Barbara Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Kršnjavi	Kršnjavi, Iso (1845-1927)	http://data.bnf.fr/ark:/12148/cb120734101#foaf:Person	http://www.idref.fr/029020700
I Kršnjavi	Kršnjavi, Iso (1845-1927)	http://data.bnf.fr/ark:/12148/cb120734101#foaf:Person	http://www.idref.fr/029020700
I. Kršnjavi	Kršnjavi, Iso (1845-1927)	http://data.bnf.fr/ark:/12148/cb120734101#foaf:Person	http://www.idref.fr/029020700
M Kršnjavi	Kršnjavi, Iso (1845-1927)	http://data.bnf.fr/ark:/12148/cb120734101#foaf:Person	http://www.idref.fr/029020700
M Iso Kršnjavi	Kršnjavi, Iso (1845-1927)	http://data.bnf.fr/ark:/12148/cb120734101#foaf:Person	http://www.idref.fr/029020700
M. Kršnjavi	Kršnjavi, Iso (1845-1927)	http://data.bnf.fr/ark:/12148/cb120734101#foaf:Person	http://www.idref.fr/029020700
M. Iso Kršnjavi	Kršnjavi, Iso (1845-1927)	http://data.bnf.fr/ark:/12148/cb120734101#foaf:Person	http://www.idref.fr/029020700
Ladislas Wieniec	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
Władysław Edward Kronenberg	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
Kronenberg	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
W E Kronenberg	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
W. E. Kronenberg	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
M Kronenberg	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
M Władysław Edward Kronenberg	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
M. Kronenberg	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
M. Władysław Edward Kronenberg	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
Władysław Wieniec	Kronenberg, Władysław Edward (1848-1892)	http://data.bnf.fr/ark:/12148/cb164439341#foaf:Person
Richard von Krafft- Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
Richard von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
Von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
R Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
R. Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
R von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
R Von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
R. Von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
R. von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
M von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
M Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
M Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
M Richard von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
M. Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
M. Richard von Krafft Ebing	Krafft Ebing, Richard von (1840-1902)	http://data.bnf.fr/ark:/12148/cb123017782#foaf:Person	http://dbpedia.org/resource/Richard_von_Krafft-Ebing	http://www.idref.fr/031886264
Armand-Guy-Simon de Coetnempren	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
Armand Guy Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
A G Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
A. G. Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
M Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
M Armand Guy Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
M. Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
M. Armand Guy Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
Armand Guy Simon de Coëtnempren Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
Armand-Gui Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
Citoyen Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
Guy Kersaint	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
Kersaint l'aîné	Kersaint, Armand Guy (1742-1793)	http://data.bnf.fr/ark:/12148/cb119096449#foaf:Person	http://dbpedia.org/resource/Armand_de_Kersaint	http://www.idref.fr/026948265
Jaroslav Kvapil	Kvapil, Jaroslav (1892-1958)	http://data.bnf.fr/ark:/12148/cb163768238#foaf:Person
Kvapil	Kvapil, Jaroslav (1892-1958)	http://data.bnf.fr/ark:/12148/cb163768238#foaf:Person
J Kvapil	Kvapil, Jaroslav (1892-1958)	http://data.bnf.fr/ark:/12148/cb163768238#foaf:Person
J. Kvapil	Kvapil, Jaroslav (1892-1958)	http://data.bnf.fr/ark:/12148/cb163768238#foaf:Person
M Kvapil	Kvapil, Jaroslav (1892-1958)	http://data.bnf.fr/ark:/12148/cb163768238#foaf:Person
M Jaroslav Kvapil	Kvapil, Jaroslav (1892-1958)	http://data.bnf.fr/ark:/12148/cb163768238#foaf:Person
M. Kvapil	Kvapil, Jaroslav (1892-1958)	http://data.bnf.fr/ark:/12148/cb163768238#foaf:Person
M. Jaroslav Kvapil	Kvapil, Jaroslav (1892-1958)	http://data.bnf.fr/ark:/12148/cb163768238#foaf:Person
Jean Nicolas Karth	Karth, Jean Nicolas (1795-1878)	http://data.bnf.fr/ark:/12148/cb12540913z#foaf:Person
Karth	Karth, Jean Nicolas (1795-1878)	http://data.bnf.fr/ark:/12148/cb12540913z#foaf:Person
J N Karth	Karth, Jean Nicolas (1795-1878)	http://data.bnf.fr/ark:/12148/cb12540913z#foaf:Person
J. N. Karth	Karth, Jean Nicolas (1795-1878)	http://data.bnf.fr/ark:/12148/cb12540913z#foaf:Person
M Karth	Karth, Jean Nicolas (1795-1878)	http://data.bnf.fr/ark:/12148/cb12540913z#foaf:Person
M Jean Nicolas Karth	Karth, Jean Nicolas (1795-1878)	http://data.bnf.fr/ark:/12148/cb12540913z#foaf:Person
M. Karth	Karth, Jean Nicolas (1795-1878)	http://data.bnf.fr/ark:/12148/cb12540913z#foaf:Person
M. Jean Nicolas Karth	Karth, Jean Nicolas (1795-1878)	http://data.bnf.fr/ark:/12148/cb12540913z#foaf:Person
Paul Kelsen	Kelsen, Paul (1855-1914)	http://data.bnf.fr/ark:/12148/cb14764952v#foaf:Person
Kelsen	Kelsen, Paul (1855-1914)	http://data.bnf.fr/ark:/12148/cb14764952v#foaf:Person
P Kelsen	Kelsen, Paul (1855-1914)	http://data.bnf.fr/ark:/12148/cb14764952v#foaf:Person
P. Kelsen	Kelsen, Paul (1855-1914)	http://data.bnf.fr/ark:/12148/cb14764952v#foaf:Person
M Kelsen	Kelsen, Paul (1855-1914)	http://data.bnf.fr/ark:/12148/cb14764952v#foaf:Person
M Paul Kelsen	Kelsen, Paul (1855-1914)	http://data.bnf.fr/ark:/12148/cb14764952v#foaf:Person
M. Kelsen	Kelsen, Paul (1855-1914)	http://data.bnf.fr/ark:/12148/cb14764952v#foaf:Person
M. Paul Kelsen	Kelsen, Paul (1855-1914)	http://data.bnf.fr/ark:/12148/cb14764952v#foaf:Person
Antun Knežević	Knežević, Antun (1834-1889)	http://data.bnf.fr/ark:/12148/cb16181784v#foaf:Person
Knežević	Knežević, Antun (1834-1889)	http://data.bnf.fr/ark:/12148/cb16181784v#foaf:Person
A Knežević	Knežević, Antun (1834-1889)	http://data.bnf.fr/ark:/12148/cb16181784v#foaf:Person
A. Knežević	Knežević, Antun (1834-1889)	http://data.bnf.fr/ark:/12148/cb16181784v#foaf:Person
M Knežević	Knežević, Antun (1834-1889)	http://data.bnf.fr/ark:/12148/cb16181784v#foaf:Person
M Antun Knežević	Knežević, Antun (1834-1889)	http://data.bnf.fr/ark:/12148/cb16181784v#foaf:Person
M. Knežević	Knežević, Antun (1834-1889)	http://data.bnf.fr/ark:/12148/cb16181784v#foaf:Person
M. Antun Knežević	Knežević, Antun (1834-1889)	http://data.bnf.fr/ark:/12148/cb16181784v#foaf:Person
Jeanne Kosnick Kloss	Kosnick Kloss, Jeanne (1892-1966)	http://data.bnf.fr/ark:/12148/cb119537565#foaf:Person
Kosnick Kloss	Kosnick Kloss, Jeanne (1892-1966)	http://data.bnf.fr/ark:/12148/cb119537565#foaf:Person
J Kosnick Kloss	Kosnick Kloss, Jeanne (1892-1966)	http://data.bnf.fr/ark:/12148/cb119537565#foaf:Person
J. Kosnick Kloss	Kosnick Kloss, Jeanne (1892-1966)	http://data.bnf.fr/ark:/12148/cb119537565#foaf:Person
M Kosnick Kloss	Kosnick Kloss, Jeanne (1892-1966)	http://data.bnf.fr/ark:/12148/cb119537565#foaf:Person
M Jeanne Kosnick Kloss	Kosnick Kloss, Jeanne (1892-1966)	http://data.bnf.fr/ark:/12148/cb119537565#foaf:Person
M. Kosnick Kloss	Kosnick Kloss, Jeanne (1892-1966)	http://data.bnf.fr/ark:/12148/cb119537565#foaf:Person
M. Jeanne Kosnick Kloss	Kosnick Kloss, Jeanne (1892-1966)	http://data.bnf.fr/ark:/12148/cb119537565#foaf:Person
Eustache Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
Eustathius von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
Von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
E Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
E. Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
E von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
E Von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
E. Von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
E. von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
M von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
M Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
M Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
M Eustathius von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
M. Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
M. Eustathius von Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
Eusthatius a Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
Eustathe de Knobelsdorf	Knobelsdorf, Eustathius von (1519-1571)	http://data.bnf.fr/ark:/12148/cb12616498s#foaf:Person	http://www.idref.fr/026951347
Jakob Koppmayer	Koppmayer, Jakob (1640-1701)	http://data.bnf.fr/ark:/12148/cb122392395#foaf:Person	http://www.idref.fr/031114083
Koppmayer	Koppmayer, Jakob (1640-1701)	http://data.bnf.fr/ark:/12148/cb122392395#foaf:Person	http://www.idref.fr/031114083
J Koppmayer	Koppmayer, Jakob (1640-1701)	http://data.bnf.fr/ark:/12148/cb122392395#foaf:Person	http://www.idref.fr/031114083
J. Koppmayer	Koppmayer, Jakob (1640-1701)	http://data.bnf.fr/ark:/12148/cb122392395#foaf:Person	http://www.idref.fr/031114083
M Koppmayer	Koppmayer, Jakob (1640-1701)	http://data.bnf.fr/ark:/12148/cb122392395#foaf:Person	http://www.idref.fr/031114083
M Jakob Koppmayer	Koppmayer, Jakob (1640-1701)	http://data.bnf.fr/ark:/12148/cb122392395#foaf:Person	http://www.idref.fr/031114083
M. Koppmayer	Koppmayer, Jakob (1640-1701)	http://data.bnf.fr/ark:/12148/cb122392395#foaf:Person	http://www.idref.fr/031114083
M. Jakob Koppmayer	Koppmayer, Jakob (1640-1701)	http://data.bnf.fr/ark:/12148/cb122392395#foaf:Person	http://www.idref.fr/031114083
Nathan Katz	Katz, Nathan (1892-1981)	http://data.bnf.fr/ark:/12148/cb11909486p#foaf:Person	http://www.idref.fr/026946262
Katz	Katz, Nathan (1892-1981)	http://data.bnf.fr/ark:/12148/cb11909486p#foaf:Person	http://www.idref.fr/026946262
N Katz	Katz, Nathan (1892-1981)	http://data.bnf.fr/ark:/12148/cb11909486p#foaf:Person	http://www.idref.fr/026946262
N. Katz	Katz, Nathan (1892-1981)	http://data.bnf.fr/ark:/12148/cb11909486p#foaf:Person	http://www.idref.fr/026946262
M Katz	Katz, Nathan (1892-1981)	http://data.bnf.fr/ark:/12148/cb11909486p#foaf:Person	http://www.idref.fr/026946262
M Nathan Katz	Katz, Nathan (1892-1981)	http://data.bnf.fr/ark:/12148/cb11909486p#foaf:Person	http://www.idref.fr/026946262
M. Katz	Katz, Nathan (1892-1981)	http://data.bnf.fr/ark:/12148/cb11909486p#foaf:Person	http://www.idref.fr/026946262
M. Nathan Katz	Katz, Nathan (1892-1981)	http://data.bnf.fr/ark:/12148/cb11909486p#foaf:Person	http://www.idref.fr/026946262
Johannes Gerardus Keulemans	Keulemans, Johannes Gerardus (1842-1912)	http://data.bnf.fr/ark:/12148/cb14971107n#foaf:Person	http://dbpedia.org/resource/John_Gerrard_Keulemans
Keulemans	Keulemans, Johannes Gerardus (1842-1912)	http://data.bnf.fr/ark:/12148/cb14971107n#foaf:Person	http://dbpedia.org/resource/John_Gerrard_Keulemans
J G Keulemans	Keulemans, Johannes Gerardus (1842-1912)	http://data.bnf.fr/ark:/12148/cb14971107n#foaf:Person	http://dbpedia.org/resource/John_Gerrard_Keulemans
J. G. Keulemans	Keulemans, Johannes Gerardus (1842-1912)	http://data.bnf.fr/ark:/12148/cb14971107n#foaf:Person	http://dbpedia.org/resource/John_Gerrard_Keulemans
