William Harrison Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
M Wilkie	Wilkie, David (1785-1841)	http://data.bnf.fr/ark:/12148/cb14942701v#foaf:Person	http://www.idref.fr/079412378
M David Wilkie	Wilkie, David (1785-1841)	http://data.bnf.fr/ark:/12148/cb14942701v#foaf:Person	http://www.idref.fr/079412378
M. Wilkie	Wilkie, David (1785-1841)	http://data.bnf.fr/ark:/12148/cb14942701v#foaf:Person	http://www.idref.fr/079412378
M. David Wilkie	Wilkie, David (1785-1841)	http://data.bnf.fr/ark:/12148/cb14942701v#foaf:Person	http://www.idref.fr/079412378
Sophus Williams	Williams, Sophus (1835-1900)	http://data.bnf.fr/ark:/12148/cb153769838#foaf:Person
Williams	Williams, Sophus (1835-1900)	http://data.bnf.fr/ark:/12148/cb153769838#foaf:Person
S Williams	Williams, Sophus (1835-1900)	http://data.bnf.fr/ark:/12148/cb153769838#foaf:Person
S. Williams	Williams, Sophus (1835-1900)	http://data.bnf.fr/ark:/12148/cb153769838#foaf:Person
M Williams	Williams, Sophus (1835-1900)	http://data.bnf.fr/ark:/12148/cb153769838#foaf:Person
M Sophus Williams	Williams, Sophus (1835-1900)	http://data.bnf.fr/ark:/12148/cb153769838#foaf:Person
M. Williams	Williams, Sophus (1835-1900)	http://data.bnf.fr/ark:/12148/cb153769838#foaf:Person
M. Sophus Williams	Williams, Sophus (1835-1900)	http://data.bnf.fr/ark:/12148/cb153769838#foaf:Person
William Wood	Wood, William (1816-1892)	http://data.bnf.fr/ark:/12148/cb13474880c#foaf:Person	http://www.idref.fr/035100869
Wood	Wood, William (1816-1892)	http://data.bnf.fr/ark:/12148/cb13474880c#foaf:Person	http://www.idref.fr/035100869
W Wood	Wood, William (1816-1892)	http://data.bnf.fr/ark:/12148/cb13474880c#foaf:Person	http://www.idref.fr/035100869
W. Wood	Wood, William (1816-1892)	http://data.bnf.fr/ark:/12148/cb13474880c#foaf:Person	http://www.idref.fr/035100869
M Wood	Wood, William (1816-1892)	http://data.bnf.fr/ark:/12148/cb13474880c#foaf:Person	http://www.idref.fr/035100869
M William Wood	Wood, William (1816-1892)	http://data.bnf.fr/ark:/12148/cb13474880c#foaf:Person	http://www.idref.fr/035100869
M. Wood	Wood, William (1816-1892)	http://data.bnf.fr/ark:/12148/cb13474880c#foaf:Person	http://www.idref.fr/035100869
M. William Wood	Wood, William (1816-1892)	http://data.bnf.fr/ark:/12148/cb13474880c#foaf:Person	http://www.idref.fr/035100869
Goffredo Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
Gottfried Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
G Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
G. Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
M Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
M Gottfried Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
M. Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
M. Gottfried Wals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
Gottfried Waals	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
Gottfried Waels	Wals, Gottfried (1600-1640)	http://data.bnf.fr/ark:/12148/cb11979875k#foaf:Person	http://www.idref.fr/081172583
Jan Nepomuk Vent	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
Johann Went	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
Went	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
J Went	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
J. Went	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
M Went	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
M Johann Went	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
M. Went	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
M. Johann Went	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
Johann Wend	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
Johann Wendt	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
Johann Wenth	Went, Johann (1745-1801)	http://data.bnf.fr/ark:/12148/cb139354451#foaf:Person
Robert Isaac Wilberforce	Wilberforce, Robert Isaac (1802-1857)	http://data.bnf.fr/ark:/12148/cb106259547#foaf:Person	http://dbpedia.org/resource/Robert_Isaac_Wilberforce
Wilberforce	Wilberforce, Robert Isaac (1802-1857)	http://data.bnf.fr/ark:/12148/cb106259547#foaf:Person	http://dbpedia.org/resource/Robert_Isaac_Wilberforce
R I Wilberforce	Wilberforce, Robert Isaac (1802-1857)	http://data.bnf.fr/ark:/12148/cb106259547#foaf:Person	http://dbpedia.org/resource/Robert_Isaac_Wilberforce
R. I. Wilberforce	Wilberforce, Robert Isaac (1802-1857)	http://data.bnf.fr/ark:/12148/cb106259547#foaf:Person	http://dbpedia.org/resource/Robert_Isaac_Wilberforce
M Wilberforce	Wilberforce, Robert Isaac (1802-1857)	http://data.bnf.fr/ark:/12148/cb106259547#foaf:Person	http://dbpedia.org/resource/Robert_Isaac_Wilberforce
M Robert Isaac Wilberforce	Wilberforce, Robert Isaac (1802-1857)	http://data.bnf.fr/ark:/12148/cb106259547#foaf:Person	http://dbpedia.org/resource/Robert_Isaac_Wilberforce
M. Wilberforce	Wilberforce, Robert Isaac (1802-1857)	http://data.bnf.fr/ark:/12148/cb106259547#foaf:Person	http://dbpedia.org/resource/Robert_Isaac_Wilberforce
M. Robert Isaac Wilberforce	Wilberforce, Robert Isaac (1802-1857)	http://data.bnf.fr/ark:/12148/cb106259547#foaf:Person	http://dbpedia.org/resource/Robert_Isaac_Wilberforce
Bertram Clough Williams Ellis	Williams Ellis, Bertram Clough (1883-1978)	http://data.bnf.fr/ark:/12148/cb16231942m#foaf:Person
Williams Ellis	Williams Ellis, Bertram Clough (1883-1978)	http://data.bnf.fr/ark:/12148/cb16231942m#foaf:Person
B C Williams Ellis	Williams Ellis, Bertram Clough (1883-1978)	http://data.bnf.fr/ark:/12148/cb16231942m#foaf:Person
B. C. Williams Ellis	Williams Ellis, Bertram Clough (1883-1978)	http://data.bnf.fr/ark:/12148/cb16231942m#foaf:Person
M Williams Ellis	Williams Ellis, Bertram Clough (1883-1978)	http://data.bnf.fr/ark:/12148/cb16231942m#foaf:Person
M Bertram Clough Williams Ellis	Williams Ellis, Bertram Clough (1883-1978)	http://data.bnf.fr/ark:/12148/cb16231942m#foaf:Person
M. Williams Ellis	Williams Ellis, Bertram Clough (1883-1978)	http://data.bnf.fr/ark:/12148/cb16231942m#foaf:Person
M. Bertram Clough Williams Ellis	Williams Ellis, Bertram Clough (1883-1978)	http://data.bnf.fr/ark:/12148/cb16231942m#foaf:Person
Anne Hollingsworth Wharton	Wharton, Anne Hollingsworth (1845-1928)	http://data.bnf.fr/ark:/12148/cb13487405f#foaf:Person	http://www.idref.fr/085975346
Wharton	Wharton, Anne Hollingsworth (1845-1928)	http://data.bnf.fr/ark:/12148/cb13487405f#foaf:Person	http://www.idref.fr/085975346
A H Wharton	Wharton, Anne Hollingsworth (1845-1928)	http://data.bnf.fr/ark:/12148/cb13487405f#foaf:Person	http://www.idref.fr/085975346
A. H. Wharton	Wharton, Anne Hollingsworth (1845-1928)	http://data.bnf.fr/ark:/12148/cb13487405f#foaf:Person	http://www.idref.fr/085975346
M Wharton	Wharton, Anne Hollingsworth (1845-1928)	http://data.bnf.fr/ark:/12148/cb13487405f#foaf:Person	http://www.idref.fr/085975346
M Anne Hollingsworth Wharton	Wharton, Anne Hollingsworth (1845-1928)	http://data.bnf.fr/ark:/12148/cb13487405f#foaf:Person	http://www.idref.fr/085975346
M. Wharton	Wharton, Anne Hollingsworth (1845-1928)	http://data.bnf.fr/ark:/12148/cb13487405f#foaf:Person	http://www.idref.fr/085975346
M. Anne Hollingsworth Wharton	Wharton, Anne Hollingsworth (1845-1928)	http://data.bnf.fr/ark:/12148/cb13487405f#foaf:Person	http://www.idref.fr/085975346
Carter Godwin Woodson	Woodson, Carter Godwin (1875-1950)	http://data.bnf.fr/ark:/12148/cb124339557#foaf:Person	http://www.idref.fr/028177924
Woodson	Woodson, Carter Godwin (1875-1950)	http://data.bnf.fr/ark:/12148/cb124339557#foaf:Person	http://www.idref.fr/028177924
C G Woodson	Woodson, Carter Godwin (1875-1950)	http://data.bnf.fr/ark:/12148/cb124339557#foaf:Person	http://www.idref.fr/028177924
C. G. Woodson	Woodson, Carter Godwin (1875-1950)	http://data.bnf.fr/ark:/12148/cb124339557#foaf:Person	http://www.idref.fr/028177924
M Woodson	Woodson, Carter Godwin (1875-1950)	http://data.bnf.fr/ark:/12148/cb124339557#foaf:Person	http://www.idref.fr/028177924
M Carter Godwin Woodson	Woodson, Carter Godwin (1875-1950)	http://data.bnf.fr/ark:/12148/cb124339557#foaf:Person	http://www.idref.fr/028177924
M. Woodson	Woodson, Carter Godwin (1875-1950)	http://data.bnf.fr/ark:/12148/cb124339557#foaf:Person	http://www.idref.fr/028177924
M. Carter Godwin Woodson	Woodson, Carter Godwin (1875-1950)	http://data.bnf.fr/ark:/12148/cb124339557#foaf:Person	http://www.idref.fr/028177924
Wigbold	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
 Wikbold Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
Wikbold Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
 Wikbold Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
. Wikbold Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
M Wikbold Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
M  Wikbold Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
M. Wikbold Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
M.  Wikbold Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
Wikbold von Dobbelstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
Wikbold von Kulm	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
Wikbold Dobilstein	Wikbold Dobbelstein, (1312-1398)	http://data.bnf.fr/ark:/12148/cb13162836p#foaf:Person
Paul Moritz Warburg	Warburg, Paul Moritz (1868-1932)	http://data.bnf.fr/ark:/12148/cb10540709w#foaf:Person	http://www.idref.fr/110844629
Warburg	Warburg, Paul Moritz (1868-1932)	http://data.bnf.fr/ark:/12148/cb10540709w#foaf:Person	http://www.idref.fr/110844629
P M Warburg	Warburg, Paul Moritz (1868-1932)	http://data.bnf.fr/ark:/12148/cb10540709w#foaf:Person	http://www.idref.fr/110844629
P. M. Warburg	Warburg, Paul Moritz (1868-1932)	http://data.bnf.fr/ark:/12148/cb10540709w#foaf:Person	http://www.idref.fr/110844629
M Warburg	Warburg, Paul Moritz (1868-1932)	http://data.bnf.fr/ark:/12148/cb10540709w#foaf:Person	http://www.idref.fr/110844629
M Paul Moritz Warburg	Warburg, Paul Moritz (1868-1932)	http://data.bnf.fr/ark:/12148/cb10540709w#foaf:Person	http://www.idref.fr/110844629
M. Warburg	Warburg, Paul Moritz (1868-1932)	http://data.bnf.fr/ark:/12148/cb10540709w#foaf:Person	http://www.idref.fr/110844629
M. Paul Moritz Warburg	Warburg, Paul Moritz (1868-1932)	http://data.bnf.fr/ark:/12148/cb10540709w#foaf:Person	http://www.idref.fr/110844629
Paul Wernert	Wernert, Paul (1889-1972)	http://data.bnf.fr/ark:/12148/cb161096480#foaf:Person
Wernert	Wernert, Paul (1889-1972)	http://data.bnf.fr/ark:/12148/cb161096480#foaf:Person
P Wernert	Wernert, Paul (1889-1972)	http://data.bnf.fr/ark:/12148/cb161096480#foaf:Person
P. Wernert	Wernert, Paul (1889-1972)	http://data.bnf.fr/ark:/12148/cb161096480#foaf:Person
M Wernert	Wernert, Paul (1889-1972)	http://data.bnf.fr/ark:/12148/cb161096480#foaf:Person
M Paul Wernert	Wernert, Paul (1889-1972)	http://data.bnf.fr/ark:/12148/cb161096480#foaf:Person
M. Wernert	Wernert, Paul (1889-1972)	http://data.bnf.fr/ark:/12148/cb161096480#foaf:Person
M. Paul Wernert	Wernert, Paul (1889-1972)	http://data.bnf.fr/ark:/12148/cb161096480#foaf:Person
Alfred Werner	Werner, Alfred (1866-1919)	http://data.bnf.fr/ark:/12148/cb12006020h#foaf:Person	http://dbpedia.org/resource/Alfred_Werner	http://www.idref.fr/028171446
Werner	Werner, Alfred (1866-1919)	http://data.bnf.fr/ark:/12148/cb12006020h#foaf:Person	http://dbpedia.org/resource/Alfred_Werner	http://www.idref.fr/028171446
A Werner	Werner, Alfred (1866-1919)	http://data.bnf.fr/ark:/12148/cb12006020h#foaf:Person	http://dbpedia.org/resource/Alfred_Werner	http://www.idref.fr/028171446
A. Werner	Werner, Alfred (1866-1919)	http://data.bnf.fr/ark:/12148/cb12006020h#foaf:Person	http://dbpedia.org/resource/Alfred_Werner	http://www.idref.fr/028171446
M Werner	Werner, Alfred (1866-1919)	http://data.bnf.fr/ark:/12148/cb12006020h#foaf:Person	http://dbpedia.org/resource/Alfred_Werner	http://www.idref.fr/028171446
M Alfred Werner	Werner, Alfred (1866-1919)	http://data.bnf.fr/ark:/12148/cb12006020h#foaf:Person	http://dbpedia.org/resource/Alfred_Werner	http://www.idref.fr/028171446
M. Werner	Werner, Alfred (1866-1919)	http://data.bnf.fr/ark:/12148/cb12006020h#foaf:Person	http://dbpedia.org/resource/Alfred_Werner	http://www.idref.fr/028171446
M. Alfred Werner	Werner, Alfred (1866-1919)	http://data.bnf.fr/ark:/12148/cb12006020h#foaf:Person	http://dbpedia.org/resource/Alfred_Werner	http://www.idref.fr/028171446
Max	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
Emil Ottokar Weller	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
Weller	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
E O Weller	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
E. O. Weller	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
M Weller	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
M Emil Ottokar Weller	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
M. Weller	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
M. Emil Ottokar Weller	Weller, Emil Ottokar (1823-1886)	http://data.bnf.fr/ark:/12148/cb124512061#foaf:Person	http://www.idref.fr/033667985
Gustav Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
Gustaf Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
G Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
G. Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
M Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
M Gustaf Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
M. Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
M. Gustaf Wennerberg	Wennerberg, Gustaf (1817-1901)	http://data.bnf.fr/ark:/12148/cb16533984j#foaf:Person
Ernestus Carolus Fridericus Wunderlichius	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
Ernst Karl Friedrich Wunderlich	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
Wunderlich	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
E K F Wunderlich	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
E. K. F. Wunderlich	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
M Wunderlich	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
M Ernst Karl Friedrich Wunderlich	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
M. Wunderlich	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
M. Ernst Karl Friedrich Wunderlich	Wunderlich, Ernst Karl Friedrich (1783-1816)	http://data.bnf.fr/ark:/12148/cb122083325#foaf:Person	http://www.idref.fr/067041248
Clifton Webb	Webb, Clifton (1889-1966)	http://data.bnf.fr/ark:/12148/cb14238226v#foaf:Person	http://www.idref.fr/100935559	http://dbpedia.org/resource/Clifton_Webb
Webb	Webb, Clifton (1889-1966)	http://data.bnf.fr/ark:/12148/cb14238226v#foaf:Person	http://www.idref.fr/100935559	http://dbpedia.org/resource/Clifton_Webb
C Webb	Webb, Clifton (1889-1966)	http://data.bnf.fr/ark:/12148/cb14238226v#foaf:Person	http://www.idref.fr/100935559	http://dbpedia.org/resource/Clifton_Webb
C. Webb	Webb, Clifton (1889-1966)	http://data.bnf.fr/ark:/12148/cb14238226v#foaf:Person	http://www.idref.fr/100935559	http://dbpedia.org/resource/Clifton_Webb
M Webb	Webb, Clifton (1889-1966)	http://data.bnf.fr/ark:/12148/cb14238226v#foaf:Person	http://www.idref.fr/100935559	http://dbpedia.org/resource/Clifton_Webb
M Clifton Webb	Webb, Clifton (1889-1966)	http://data.bnf.fr/ark:/12148/cb14238226v#foaf:Person	http://www.idref.fr/100935559	http://dbpedia.org/resource/Clifton_Webb
M. Webb	Webb, Clifton (1889-1966)	http://data.bnf.fr/ark:/12148/cb14238226v#foaf:Person	http://www.idref.fr/100935559	http://dbpedia.org/resource/Clifton_Webb
M. Clifton Webb	Webb, Clifton (1889-1966)	http://data.bnf.fr/ark:/12148/cb14238226v#foaf:Person	http://www.idref.fr/100935559	http://dbpedia.org/resource/Clifton_Webb
Émile Tanneguy de Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
de Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
De Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
É T Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
É. T. Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
É T de Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
É T De Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
É. T. De Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
É. T. de Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
M de Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
M Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
M Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
M Émile Tanneguy de Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
M. Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
M. Émile Tanneguy de Wogan	Wogan, Émile Tanneguy de (1850-1906)	http://data.bnf.fr/ark:/12148/cb15336584p#foaf:Person
Frédéric Guillaume Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
Frédéric Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
F Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
F. Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
M Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
M Frédéric Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
M. Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
M. Frédéric Weisgerber	Weisgerber, Frédéric (1868-1946)	http://data.bnf.fr/ark:/12148/cb15375350d#foaf:Person	http://www.idref.fr/075906678
Paul Etienne Victor Wachs	Wachs, Paul Etienne Victor (1851-1915)	http://data.bnf.fr/ark:/12148/cb14796883z#foaf:Person	http://www.idref.fr/116004495
Wachs	Wachs, Paul Etienne Victor (1851-1915)	http://data.bnf.fr/ark:/12148/cb14796883z#foaf:Person	http://www.idref.fr/116004495
P E V Wachs	Wachs, Paul Etienne Victor (1851-1915)	http://data.bnf.fr/ark:/12148/cb14796883z#foaf:Person	http://www.idref.fr/116004495
P. E. V. Wachs	Wachs, Paul Etienne Victor (1851-1915)	http://data.bnf.fr/ark:/12148/cb14796883z#foaf:Person	http://www.idref.fr/116004495
M Wachs	Wachs, Paul Etienne Victor (1851-1915)	http://data.bnf.fr/ark:/12148/cb14796883z#foaf:Person	http://www.idref.fr/116004495
