Theodor von Zahn	Zahn, Theodor (1838-1933)	http://data.bnf.fr/ark:/12148/cb125179836#foaf:Person	http://www.idref.fr/074066978
E Zermelo	Zermelo, Ernst (1871-1953)	http://data.bnf.fr/ark:/12148/cb155471355#foaf:Person	http://dbpedia.org/resource/Ernst_Zermelo	http://www.idref.fr/083809430
Ernst Zermelo	Zermelo, Ernst (1871-1953)	http://data.bnf.fr/ark:/12148/cb155471355#foaf:Person	http://dbpedia.org/resource/Ernst_Zermelo	http://www.idref.fr/083809430
M. Zermelo	Zermelo, Ernst (1871-1953)	http://data.bnf.fr/ark:/12148/cb155471355#foaf:Person	http://dbpedia.org/resource/Ernst_Zermelo	http://www.idref.fr/083809430
Johan Zimerman	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
M. Johann Baptist Zimmermann	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
M Zimmermann	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
M Johann Baptist Zimmermann	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
M. Zimmermann	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
Johann Baptist Zimmermann	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
J B Zimmermann	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
Zimmermann	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
J. B. Zimmermann	Zimmermann, Johann Baptist (1680-1758)	http://data.bnf.fr/ark:/12148/cb120004267#foaf:Person	http://www.idref.fr/086702521
Muhammad ibn Ali al-Najjar Al Bijai	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
M. Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
M Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
M M A F B A Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
M Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
M. Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
M. M. A. F. B. A. Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
Muḥammad ibn Muḥammad ibn ´Umar al-Naǧǧār al-Biǧā’ī Al Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
Muḥammad ibn Muḥammad ibn ´Alī al-Zawāwī al-Biǧā’ī Al Farāwasnī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
Muḥammad ibn ´Abd Allāh ibn Muḥammad al-Farawsanī al-Naǧǧār Al Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
Muḥammad ibn Muḥammad ibn ´Alī al-Farāwaḍī al-Biǧā’ī Al Zawāwī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
Muḥammad ibn ´Alī ibn ´Umar Al-Zawāwī al-Naǧǧār al-Biǧā’ī Al Farāwsanī	Zawāwī, Muḥammad ibn Muḥammad ibn ´Alī al Farāwasnī al Biǧā’ī Al (1400-1477)	http://data.bnf.fr/ark:/12148/cb131823868#foaf:Person
Ziehrer	Ziehrer, Carl Michael (1843-1922)	http://data.bnf.fr/ark:/12148/cb13901416v#foaf:Person	http://dbpedia.org/resource/Carl_Michael_Ziehrer	http://www.idref.fr/071035990
M Carl Michael Ziehrer	Ziehrer, Carl Michael (1843-1922)	http://data.bnf.fr/ark:/12148/cb13901416v#foaf:Person	http://dbpedia.org/resource/Carl_Michael_Ziehrer	http://www.idref.fr/071035990
C. M. Ziehrer	Ziehrer, Carl Michael (1843-1922)	http://data.bnf.fr/ark:/12148/cb13901416v#foaf:Person	http://dbpedia.org/resource/Carl_Michael_Ziehrer	http://www.idref.fr/071035990
M Ziehrer	Ziehrer, Carl Michael (1843-1922)	http://data.bnf.fr/ark:/12148/cb13901416v#foaf:Person	http://dbpedia.org/resource/Carl_Michael_Ziehrer	http://www.idref.fr/071035990
M. Carl Michael Ziehrer	Ziehrer, Carl Michael (1843-1922)	http://data.bnf.fr/ark:/12148/cb13901416v#foaf:Person	http://dbpedia.org/resource/Carl_Michael_Ziehrer	http://www.idref.fr/071035990
M. Ziehrer	Ziehrer, Carl Michael (1843-1922)	http://data.bnf.fr/ark:/12148/cb13901416v#foaf:Person	http://dbpedia.org/resource/Carl_Michael_Ziehrer	http://www.idref.fr/071035990
Carl Michael Ziehrer	Ziehrer, Carl Michael (1843-1922)	http://data.bnf.fr/ark:/12148/cb13901416v#foaf:Person	http://dbpedia.org/resource/Carl_Michael_Ziehrer	http://www.idref.fr/071035990
C M Ziehrer	Ziehrer, Carl Michael (1843-1922)	http://data.bnf.fr/ark:/12148/cb13901416v#foaf:Person	http://dbpedia.org/resource/Carl_Michael_Ziehrer	http://www.idref.fr/071035990
István Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
I zalánkeményi Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
I. zalánkeményi Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
István zalánkeményi Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
M zalánkeményi Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
M István zalánkeményi Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
zalánkeményi Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
M. István zalánkeményi Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
M. zalánkeményi Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
Stephan Kakas	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
Étienne Kakasch de Zalonkemeny	zalánkeményi Kakas, István (1558-1603)	http://data.bnf.fr/ark:/12148/cb10025616t#foaf:Person
Louis Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
M Lajos Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
M. Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
L Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
M Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
Lajos Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
M. Lajos Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
L. Zilahy	Zilahy, Lajos (1891-1974)	http://data.bnf.fr/ark:/12148/cb121583890#foaf:Person	http://dbpedia.org/resource/Lajos_Zilahy	http://www.idref.fr/030100178
Ludovicus Zuccolus	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
M Zuccolo	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
Lodovico Zuccolo	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
L. Zuccolo	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
L Zuccolo	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
M. Lodovico Zuccolo	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
M Lodovico Zuccolo	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
M. Zuccolo	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
Zuccolo	Zuccolo, Lodovico (1568-1630)	http://data.bnf.fr/ark:/12148/cb13537977t#foaf:Person	http://www.idref.fr/050682733
Placido Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
M. Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
G Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
M Giacinto Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
Giacinto Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
M. Giacinto Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
G. Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
M Zurla	Zurla, Giacinto (1769-1843)	http://data.bnf.fr/ark:/12148/cb107482011#foaf:Person	http://dbpedia.org/resource/Giacinto_Placido_Zurla
M. Zhou Chen	Zhou Chen (1470-1535)	http://data.bnf.fr/ark:/12148/cb11995711h#foaf:Person	http://www.idref.fr/028042026
M Zhou Chen	Zhou Chen (1470-1535)	http://data.bnf.fr/ark:/12148/cb11995711h#foaf:Person	http://www.idref.fr/028042026
Zhou Chen	Zhou Chen (1470-1535)	http://data.bnf.fr/ark:/12148/cb11995711h#foaf:Person	http://www.idref.fr/028042026
Zerlett	Zerlett, Hans H. (1892-1949)	http://data.bnf.fr/ark:/12148/cb14147148p#foaf:Person	http://dbpedia.org/resource/Hans_H._Zerlett
M Zerlett	Zerlett, Hans H. (1892-1949)	http://data.bnf.fr/ark:/12148/cb14147148p#foaf:Person	http://dbpedia.org/resource/Hans_H._Zerlett
Hans H. Zerlett	Zerlett, Hans H. (1892-1949)	http://data.bnf.fr/ark:/12148/cb14147148p#foaf:Person	http://dbpedia.org/resource/Hans_H._Zerlett
M. Hans H. Zerlett	Zerlett, Hans H. (1892-1949)	http://data.bnf.fr/ark:/12148/cb14147148p#foaf:Person	http://dbpedia.org/resource/Hans_H._Zerlett
H H Zerlett	Zerlett, Hans H. (1892-1949)	http://data.bnf.fr/ark:/12148/cb14147148p#foaf:Person	http://dbpedia.org/resource/Hans_H._Zerlett
H. H. Zerlett	Zerlett, Hans H. (1892-1949)	http://data.bnf.fr/ark:/12148/cb14147148p#foaf:Person	http://dbpedia.org/resource/Hans_H._Zerlett
M Hans H. Zerlett	Zerlett, Hans H. (1892-1949)	http://data.bnf.fr/ark:/12148/cb14147148p#foaf:Person	http://dbpedia.org/resource/Hans_H._Zerlett
M. Zerlett	Zerlett, Hans H. (1892-1949)	http://data.bnf.fr/ark:/12148/cb14147148p#foaf:Person	http://dbpedia.org/resource/Hans_H._Zerlett
Wilhelm Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
M Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
V Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
M Vilém Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
M. Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
Vilém Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
M. Vilém Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
V. Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
Zemanek	Zemanek, Vilém (1875-1922)	http://data.bnf.fr/ark:/12148/cb14840909h#foaf:Person
Henricus Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
M Heinrich Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
M. Heinrich Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
Heinrich Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
M. Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
H. Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
M Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
H Zimmer	Zimmer, Heinrich (1851-1910)	http://data.bnf.fr/ark:/12148/cb13536907d#foaf:Person	http://www.idref.fr/05067045X	http://www.idref.fr/119037165
Shlomo Yoseph Zewin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
M Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
S Y Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
S. Y. Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
M. Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
M Shlomo Yosef Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
M. Shlomo Yosef Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Shlomo Yosef Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Shelomoh Yosef Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Šhlomo Josef Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Solomon Joseph Zewin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Chlomo Yossef Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Solomon Joseph Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Šelomoh Yôsef Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Rashi Zevin	Zevin, Shlomo Yosef (1890-1978)	http://data.bnf.fr/ark:/12148/cb121712016#foaf:Person	http://www.idref.fr/030257336
Eduardus a Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
E Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
M Eduard van Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
M. Eduard van Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
Eduard van Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
M Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
E. Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
M. Zurck	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
Eduardus Zurckius	Zurck, Eduard van (1660-1726)	http://data.bnf.fr/ark:/12148/cb10458024t#foaf:Person	http://www.idref.fr/140233768
M. Czesław Znamierowski	Znamierowski, Czesław (1888-1967)	http://data.bnf.fr/ark:/12148/cb12165234x#foaf:Person
M Znamierowski	Znamierowski, Czesław (1888-1967)	http://data.bnf.fr/ark:/12148/cb12165234x#foaf:Person
M. Znamierowski	Znamierowski, Czesław (1888-1967)	http://data.bnf.fr/ark:/12148/cb12165234x#foaf:Person
M Czesław Znamierowski	Znamierowski, Czesław (1888-1967)	http://data.bnf.fr/ark:/12148/cb12165234x#foaf:Person
C Znamierowski	Znamierowski, Czesław (1888-1967)	http://data.bnf.fr/ark:/12148/cb12165234x#foaf:Person
Czesław Znamierowski	Znamierowski, Czesław (1888-1967)	http://data.bnf.fr/ark:/12148/cb12165234x#foaf:Person
C. Znamierowski	Znamierowski, Czesław (1888-1967)	http://data.bnf.fr/ark:/12148/cb12165234x#foaf:Person
Znamierowski	Znamierowski, Czesław (1888-1967)	http://data.bnf.fr/ark:/12148/cb12165234x#foaf:Person
Walter Zimmermann	Zimmermann, Walter (1892-1980)	http://data.bnf.fr/ark:/12148/cb123881673#foaf:Person	http://dbpedia.org/resource/Walter_Max_Zimmermann	http://www.idref.fr/073659738
M Zimmermann	Zimmermann, Walter (1892-1980)	http://data.bnf.fr/ark:/12148/cb123881673#foaf:Person	http://dbpedia.org/resource/Walter_Max_Zimmermann	http://www.idref.fr/073659738
M Walter Zimmermann	Zimmermann, Walter (1892-1980)	http://data.bnf.fr/ark:/12148/cb123881673#foaf:Person	http://dbpedia.org/resource/Walter_Max_Zimmermann	http://www.idref.fr/073659738
M. Zimmermann	Zimmermann, Walter (1892-1980)	http://data.bnf.fr/ark:/12148/cb123881673#foaf:Person	http://dbpedia.org/resource/Walter_Max_Zimmermann	http://www.idref.fr/073659738
M. Walter Zimmermann	Zimmermann, Walter (1892-1980)	http://data.bnf.fr/ark:/12148/cb123881673#foaf:Person	http://dbpedia.org/resource/Walter_Max_Zimmermann	http://www.idref.fr/073659738
W Zimmermann	Zimmermann, Walter (1892-1980)	http://data.bnf.fr/ark:/12148/cb123881673#foaf:Person	http://dbpedia.org/resource/Walter_Max_Zimmermann	http://www.idref.fr/073659738
Zimmermann	Zimmermann, Walter (1892-1980)	http://data.bnf.fr/ark:/12148/cb123881673#foaf:Person	http://dbpedia.org/resource/Walter_Max_Zimmermann	http://www.idref.fr/073659738
